X;Y
1.0;0.25
2.0;0.3333333333333333
3.0;1.0
4.0;0.0
5.0;1.0
6.0;1.0
7.0;1.0
8.0;1.0
9.0;1.0
10.0;0.3333333333333333
11.0;1.0
12.0;0.0
13.0;1.0
14.0;1.0
15.0;1.0
16.0;1.0
17.0;1.0
18.0;1.0
19.0;0.3333333333333333
20.0;1.0
21.0;1.0
22.0;1.0
23.0;0.3333333333333333
24.0;0.14285714285714285
25.0;0.3333333333333333
26.0;1.0
27.0;1.0
28.0;1.0
29.0;0.5
30.0;1.0
31.0;1.0
32.0;1.0
33.0;1.0
34.0;1.0
35.0;1.0
36.0;1.0
37.0;1.0
38.0;0.3333333333333333
39.0;0.5
40.0;0.16666666666666666
41.0;0.5
42.0;1.0
43.0;1.0
44.0;1.0
45.0;0.3333333333333333
46.0;1.0
47.0;0.2
48.0;0.2
49.0;1.0
50.0;1.0
51.0;1.0
52.0;1.0
53.0;1.0
54.0;1.0
55.0;0.0
56.0;1.0
57.0;1.0
58.0;1.0
59.0;0.3333333333333333
60.0;0.5
61.0;1.0
62.0;1.0
63.0;0.5
64.0;1.0
65.0;1.0
66.0;0.5
67.0;0.5
68.0;0.25
69.0;1.0
70.0;1.0
71.0;1.0
72.0;0.5
73.0;0.5
74.0;1.0
75.0;1.0
76.0;1.0
77.0;1.0
78.0;0.125
79.0;0.25
80.0;1.0
81.0;1.0
82.0;0.1111111111111111
83.0;1.0
84.0;0.5
85.0;0.1
86.0;0.5
87.0;0.2
88.0;0.5
89.0;1.0
90.0;1.0
91.0;1.0
92.0;1.0
94.0;1.0
95.0;1.0
96.0;1.0
97.0;1.0
98.0;0.5
99.0;1.0
100.0;1.0
